,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
985,122.652268,Private room,FALSE,TRUE,5,FALSE,1,0,9,80,1,2.915405944,0.3551089862,257.2669651,8.768073105,493.9067007,10.87240657,2.14063,41.373
986,104.0333279,Private room,FALSE,TRUE,2,FALSE,1,0,6,71,1,2.311209353,0.1912470029,276.3501176,9.418457721,616.3530257,13.56782703,2.14273,41.38379
987,329.7879768,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,98,1,2.846288029,0.5349268172,291.3969751,9.931278893,488.3531499,10.75015583,2.14522,41.36957
988,555.5426257,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,90,3,2.746395672,0.4927148361,297.5923211,10.14242628,513.2865689,11.29901712,2.14513,41.37099
989,295.5756744,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,9,87,1,3.217239035,0.08648612619,244.9887272,8.349610954,476.9797321,10.4997919,2.13172,41.38429
990,145.9259432,Private room,FALSE,TRUE,2,FALSE,1,0,7,79,1,4.008565074,0.3296689977,251.3497708,8.566405579,366.5689507,8.069310789,2.124,41.377
991,134.2891056,Private room,FALSE,TRUE,2,FALSE,1,0,8,86,1,4.043668081,0.364046884,291.4539684,9.933221318,364.2439871,8.018131184,2.12313,41.3782
992,439.6397235,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,6,100,2,1.597678141,0.2416978511,375.8753279,12.81043741,889.6815462,19.58462899,2.16697,41.37293
993,219.9362301,Private room,FALSE,TRUE,2,FALSE,0,0,9,96,1,1.6486501,0.273376489,374.203435,12.7534566,813.4236007,17.90595691,2.1692,41.3723
994,202.4809738,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,3.637377435,0.2543420778,215.2480486,7.33600066,389.0670208,8.564562554,2.13097,41.37269
995,229.2457002,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,3.266788644,0.3089285596,230.7938028,7.865825036,433.8569979,9.550527798,2.13681,41.37163
996,185.2584542,Private room,FALSE,TRUE,2,FALSE,0,0,8,94,1,1.714785592,0.3323778387,362.9859731,12.37114741,787.3217025,17.3313738,2.16795,41.37177
